Program ID,Broad Field,Field,Institution Name,Program Name,Total Faculty (2006),Number of Allocated Faculty (2006),Assistant Professors as a Percent of Total Faculty (2006),Tenured Faculty as a Percent of Total Faculty (2006),Number of Core and New Faculty (2006),Number of Students Enrolled (Fall 2005),Average Annual First Year Enrollment (2002-2006),Percent of Students with Research Assistantships (Fall 2005),Percent of Students with Teaching Assistantships (Fall 2005),Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships
20046125,Biological and Health Sciences,Cell and Developmental Biology,University of Texas Hlth Sci Cntr. At Houston\univ. of Texas M.d. Anderson Cancer Cntr.(Uthsch\utmdacc),Molecular Carcinogenesis,32,23.48,22%,66%,24,22,87.2,77.3%,0%,0%,0%,0%,0%
20047739,Biological and Health Sciences,Cell and Developmental Biology,University of Utah,Oncological Sciences,12,11.51,25%,83%,12,53,11.2,83%,0%,*,*,*,*
20023520,Biological and Health Sciences,Cell and Developmental Biology,University of Virginia,Cell Biology,51,20.91,10%,78%,15,34,5,68.8%,0%,,,100%,
20027500,Biological and Health Sciences,Cell and Developmental Biology,University of Vermont,Cell and Molecular Biology,63,45.06,29%,57%,61,39,7,0%,0%,100%,0%,0%,0%
20030416,Biological and Health Sciences,Cell and Developmental Biology,University of Wisconsin-Madison,Cellular and Molecular Biology,222,76.38,23%,,162,150,27.8,77.9%,0%,0%,10.5%,5.3%,0%
20071446,Biological and Health Sciences,Cell and Developmental Biology,University of Wisconsin-Madison,Cancer Biology,38,9.41,16%,,33,48,8.2,30%,0%,0%,70%,0%,0%
20051880,Biological and Health Sciences,Cell and Developmental Biology,Vanderbilt University,Cancer Biology,82,48.13,39%,54%,51,67,13.4,0%,0%,0%,23.5%,76.5%,0%
20051893,Biological and Health Sciences,Cell and Developmental Biology,Vanderbilt University,Cell & Developmental Biology,98,48.19,20%,71%,60,76,12.2,60.5%,0%,0%,0%,0%,0%
20052070,Biological and Health Sciences,Cell and Developmental Biology,Vanderbilt University,Pathology,55,35.48,20%,71%,39,17,3.4,17.6%,0%,66.7%,0%,33.3%,0%
20017439,Biological and Health Sciences,Cell and Developmental Biology,Virginia Commonwealth University,Anatomy,29,25.47,14%,48%,23,27,6,12.5%,0%,100%,0%,0%,0%
20034467,Biological and Health Sciences,Cell and Developmental Biology,Wake Forest University,Cancer Biology,36,15.41,33%,56%,12,22,4.8,0%,0%,50%,50%,0%,0%
20069937,Biological and Health Sciences,Cell and Developmental Biology,Washington University In St. Louis,Molecular Cell Biology,200,66.01,20%,76%,92,110,19.8,13.1%,0%,42.9%,28.6%,,28.6%
20021302,Biological and Health Sciences,Cell and Developmental Biology,Wayne State University,Anatomy and Cell Biology,25,23,16%,60%,21,13,2.8,25%,0%,100%,0%,0%,0%
20069788,Biological and Health Sciences,Cell and Developmental Biology,Washington University In St. Louis,Developmental Biology,84,20.06,19%,76%,35,38,7.2,15.8%,0%,75%,25%,0%,0%
20063331,Biological and Health Sciences,Cell and Developmental Biology,Yale University,Cell Biology,70,17.26,16%,67%,23,40,5.2,0%,0%,33.3%,66.7%,0%,0%
20034865,Biological and Health Sciences,Ecology and Evolutionary Biology,Arizona State University,Biology,83,46.86,,,53,81,14.4,33.3%,42%,0%,0%,0%,0%
20035068,Biological and Health Sciences,Ecology and Evolutionary Biology,Arizona State University,Plant Biology,47,15.79,,,31,37,7.4,42.9%,46.4%,*,*,*,*
20018137,Biological and Health Sciences,Ecology and Evolutionary Biology,Brown University,BIOMED: Ecological and Evolutionary Biology,23,15.82,4%,57%,16,25,4.2,12%,28%,42.9%,0%,0%,14.3%
20056322,Biological and Health Sciences,Ecology and Evolutionary Biology,Colorado State University,Ecology,50,30.4,10%,76%,39,96,6.2,65.9%,28%,0%,0%,0%,0%
20057596,Biological and Health Sciences,Ecology and Evolutionary Biology,Columbia University In The City of New York,Ecology and Evolutionary Biology,13,5.81,0%,15%,8,36,6.2,0%,0%,0%,60%,40%,0%
20015729,Biological and Health Sciences,Ecology and Evolutionary Biology,Cornell University,Ecology and Evolutionary Biology,41,33.22,10%,76%,39,60,9.8,13.3%,38.3%,18.2%,0%,0%,0%
20048217,Biological and Health Sciences,Ecology and Evolutionary Biology,Dartmouth College,Biology-EEB,18,14.14,11%,72%,14,17,3.6,0%,0%,50%,0%,0%,0%
20027089,Biological and Health Sciences,Ecology and Evolutionary Biology,Drexel University,Environmental Science,13,7.29,8%,54%,4,12,2.2,50%,16.7%,0%,0%,0%,0%
20029896,Biological and Health Sciences,Ecology and Evolutionary Biology,Duke University,Ecology,25,10.22,4%,76%,20,42,8.6,33.3%,26.2%,83.3%,0%,0%,0%
20062125,Biological and Health Sciences,Ecology and Evolutionary Biology,Emory University,"Population Biology, Ecology and Evolution (PBEE)",24,10.25,13%,50%,15,23,4.6,0%,0%,50%,50%,0%,0%
20027254,Biological and Health Sciences,Ecology and Evolutionary Biology,Florida State University,Ecology and Evolutionary Biology,18,18,33%,67%,18,36,6.8,60.6%,3%,0%,0%,0%,0%
20019369,Biological and Health Sciences,Ecology and Evolutionary Biology,George Washington University,Biological Sciences,20,17.58,20%,80%,18,29,5.6,0%,38.5%,0%,0%,0%,0%
20066260,Biological and Health Sciences,Ecology and Evolutionary Biology,Harvard University,Organismic and Evolutionary Biology,33,30.42,21%,,32,85,14.2,0%,0%,0%,42.1%,57.9%,0%
20046280,Biological and Health Sciences,Ecology and Evolutionary Biology,Indiana University At Bloomington,Ecology and Evolutionary Biology,36,17.46,22%,78%,22,73,12.2,10%,54.3%,0%,0%,0%,0%
20016391,Biological and Health Sciences,Ecology and Evolutionary Biology,Iowa State University,Ecology & Evolutionary Biology,55,38.89,29%,56%,50,33,6,46.4%,21.4%,12.5%,,,
20040642,Biological and Health Sciences,Ecology and Evolutionary Biology,Kent State University Main Campus,Biological Sciences - Ecology,13,12.25,46%,54%,12,17,3,0%,82.4%,,,,
20046879,Biological and Health Sciences,Ecology and Evolutionary Biology,Michigan State University,"Ecology, Evolutionary Biology & Behavior",139,36.09,18%,76%,87,61,22.6,11.5%,32.8%,0%,0%,33.3%,0%
20046934,Biological and Health Sciences,Ecology and Evolutionary Biology,Michigan State University,Fisheries and Wildlife,94,31.97,17%,77%,38,55,13.8,47.3%,5.5%,0%,0%,7.1%,0%
20047250,Biological and Health Sciences,Ecology and Evolutionary Biology,Michigan State University,Zoology,93,26.42,16%,78%,41,51,10,15.7%,33.3%,11.1%,11.1%,11.1%,0%
20060169,Biological and Health Sciences,Ecology and Evolutionary Biology,Montana State University - Bozeman,Fish & Wild Life Biology,28,20.54,4%,64%,21,15,4,71.4%,14.3%,,0%,,
20028981,Biological and Health Sciences,Ecology and Evolutionary Biology,Ohio State University Main Campus,"Evolution, Ecology and Organismal Biology",34,30.83,15%,76%,32,46,8,28.3%,63%,0%,0%,0%,0%
20042158,Biological and Health Sciences,Ecology and Evolutionary Biology,Oklahoma State University Main Campus,Zoology,14,13.16,14%,57%,12,17,4.6,43.5%,43.5%,,20%,,
20070971,Biological and Health Sciences,Ecology and Evolutionary Biology,Old Dominion University,Ecological Science,22,13.08,23%,68%,11,21,3.8,0%,0%,0%,0%,50%,50%
20018580,Biological and Health Sciences,Ecology and Evolutionary Biology,Oregon State University,Fisheries Science,44,23.49,16%,41%,24,23,4.2,73.7%,15.8%,0%,0%,0%,0%
20018739,Biological and Health Sciences,Ecology and Evolutionary Biology,Oregon State University,Wildlife Science,36,18.23,19%,36%,18,13,3.8,50%,16.7%,100%,0%,0%,0%
20018755,Biological and Health Sciences,Ecology and Evolutionary Biology,Oregon State University,Zoology,50,27.37,12%,58%,26,36,6.2,2.8%,38.9%,0%,11.1%,0%,33.3%
20018810,Biological and Health Sciences,Ecology and Evolutionary Biology,Oregon State University,Environmental Sciences,72,28.87,7%,50%,30,30,6,7.7%,30.8%,0%,14.3%,0%,14.3%
20031334,Biological and Health Sciences,Ecology and Evolutionary Biology,Penn State University,Ecology,59,21.94,7%,83%,43,30,4.4,26.2%,18.5%,7.1%,0%,0%,0%
20032472,Biological and Health Sciences,Ecology and Evolutionary Biology,Princeton University,Ecology and Evolutionary Biology,24,16.71,13%,83%,17,33,7.2,24.2%,3%,66.7%,0%,0%,0%
20055802,Biological and Health Sciences,Ecology and Evolutionary Biology,Purdue University Main Campus,"Ecology, Evolution, and Population Biology",24,9.98,8%,88%,9,16,2.6,12.5%,37.5%,0%,0%,0%,0%
20056063,Biological and Health Sciences,Ecology and Evolutionary Biology,Purdue University Main Campus,Wildlife and Aquatic Sciences,25,12.68,20%,76%,13,25,4.6,71.4%,0%,0%,0%,0%,0%
20041081,Biological and Health Sciences,Ecology and Evolutionary Biology,Rice University,Ecology & Evolutionary Biology,21,9.81,33%,67%,8,19,4.4,31.6%,5.3%,0%,33.3%,0%,0%
20012492,Biological and Health Sciences,Ecology and Evolutionary Biology,Rutgers The State University of New Jersey New Brunswick Campus,Ecology and Evolution,59,41.82,12%,61%,59,83,11.8,17.1%,44.3%,37.5%,0%,0%,0%
20063179,Biological and Health Sciences,Ecology and Evolutionary Biology,San Diego State University-University of California Davis,Ecology,35,18.74,20%,29%,34,20,3.4,0%,0%,0%,33.3%,33.3%,0%
20037448,Biological and Health Sciences,Ecology and Evolutionary Biology,State University of New York At Binghamton,"Ecology, Evolution & Behavior",17,10.9,0%,76%,13,24,1.8,0%,100%,0%,0%,0%,0%
20024600,Biological and Health Sciences,Ecology and Evolutionary Biology,Mississippi State University,Wildlife and Fisheries (degree: PhD in Forest Resources),19,18.4,5%,42%,18,10,2.6,58.3%,8.3%,0%,0%,0%,0%
20038133,Biological and Health Sciences,Ecology and Evolutionary Biology,State University of New York At Stony Brook,Ecology and Evolution,26,20.46,12%,88%,26,49,10.4,18.4%,46.9%,0%,0%,5%,5%
20065795,Biological and Health Sciences,Ecology and Evolutionary Biology,Syracuse University Main Campus,Ecology and Evolutionary Biology,10,9.97,30%,70%,10,16,4.4,0%,50%,100%,0%,0%,0%
20025832,Biological and Health Sciences,Ecology and Evolutionary Biology,Tulane University,Ecology and Evolutionary Biology,6,6,17%,83%,6,30,5.8,10%,50%,0%,0%,0%,0%
20041780,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Alabama,Biological Sciences,32,32,28%,72%,32,49,10.6,26.5%,40.8%,42.9%,0%,0%,14.3%
20027982,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Alaska Fairbanks,Biosciences,74,51.7,24%,50%,43,55,12.8,76%,20%,,,,
20033947,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Arizona,Ecology & Evolutionary Biology,53,30.98,17%,,26,49,9.4,11.6%,58.1%,22.2%,0%,0%,0%
20060884,Biological and Health Sciences,Ecology and Evolutionary Biology,University of California-Berkeley,"Environmental Science, Policy and Management",76,58.6,13%,80%,60,162,27.4,0%,0%,0%,92.6%,0%,0%
20061029,Biological and Health Sciences,Ecology and Evolutionary Biology,University of California-Berkeley,Integrative Biology,55,40.84,18%,76%,42,112,21.8,9.8%,47.3%,23.5%,0%,0%,0%
20066969,Biological and Health Sciences,Ecology and Evolutionary Biology,University of California-Davis,Animal Behavior,36,17.46,6%,61%,25,28,4.4,7.1%,7.1%,60%,0%,20%,0%
20067117,Biological and Health Sciences,Ecology and Evolutionary Biology,University of California-Davis,Ecology,109,65.08,11%,77%,109,172,31.4,17%,9.7%,26.9%,0%,23.1%,0%
20067418,Biological and Health Sciences,Ecology and Evolutionary Biology,University of California-Davis,Population Biology,27,12.81,11%,89%,27,36,6.2,11.4%,25.7%,62.5%,0%,0%,0%
20049148,Biological and Health Sciences,Ecology and Evolutionary Biology,University of California-Irvine,Ecology and Evolutionary Biology,37,28.03,22%,78%,33,44,9,4.5%,56.8%,18.8%,0%,0%,0%
20053244,Biological and Health Sciences,Ecology and Evolutionary Biology,University of California-Los Angeles,Ecology & Evolutionary Biology,32,26.58,6%,94%,27,68,15.4,8.5%,15.5%,0%,0%,88.9%,11.1%
20048835,Biological and Health Sciences,Ecology and Evolutionary Biology,University of California-Riverside,"Evolution, Ecology & Organismal Biology",28,23.48,14%,86%,25,47,9,14.9%,44.7%,27.3%,9.1%,9.1%,0%
20070227,Biological and Health Sciences,Ecology and Evolutionary Biology,University of California-Santa Barbara,"Ecology, Evolution & Marine Biology",45,32.95,4%,89%,37,53,8.4,20.8%,13.2%,0%,0%,66.7%,0%
20023672,Biological and Health Sciences,Ecology and Evolutionary Biology,University of California-Santa Cruz,Environmental Studies,33,19.96,15%,85%,23,58,9.8,7%,8.8%,81.8%,0%,18.2%,0%
20014335,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Chicago,Ecology and Evolution,30,11.97,20%,70%,18,28,5,17.9%,0%,100%,0%,0%,0%
20014364,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Chicago,Evolutionary Biology,64,34.55,11%,50%,63,28,4.8,3.6%,0%,75%,0%,0%,0%
20063946,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Colorado At Boulder,Ecology and Evolutionary Biology,26,26,8%,85%,26,57,12.6,13%,33.3%,0%,18.2%,0%,0%
20024008,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Connecticut,Ecology and Evolutionary Biology PhD,40,29.03,13%,78%,29,46,8.67,22.5%,40%,0%,0%,0%,22.2%
20013213,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Florida,Interdisciplinary Ecology,95,29.45,11%,73%,47,62,6.2,6.5%,1.6%,0%,13.6%,27.3%,45.5%
20013514,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Florida,Wildlife Ecology and Conservation,33,24.24,18%,48%,22,34,5.8,41.2%,8.8%,25%,0%,0%,0%
20013527,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Florida,Zoology,34,27.96,9%,62%,30,51,8.2,9.8%,47.1%,40%,0%,0%,0%
20019660,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Georgia,Ecology,121,49.43,10%,59%,34,69,14.6,44.9%,20.3%,4.3%,0%,0%,0%
20042543,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Houston,Evolutionary Biology and Ecology,11,7.66,27%,73%,10,19,3.2,36.8%,52.6%,0%,0%,0%,0%
20067573,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Idaho,Biology,20,15.98,10%,75%,15,26,6.8,48%,12%,0%,0%,0%,0%
20071527,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Idaho,Fish and Wildlife,23,16.92,17%,57%,15,34,4.6,77.8%,0%,0%,0%,0%,0%
20039284,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Illinois At Urbana-Champaign,Program in Ecology and Evolutionary Biology,47,20.08,26%,66%,38,39,6.4,42.1%,31.6%,60%,0%,0%,0%
20051123,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Kansas,Ecology and Evolutionary Biology,46,40.71,24%,59%,37,73,13.6,15.3%,54.2%,0%,0%,7.1%,0%
20012874,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Louisiana At Lafayette,Environmental and Evolutionary Biology,36,28.92,11%,50%,22,44,11.2,31%,33.3%,20%,0%,0%,0%
20026284,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Louisville,Biology,24,17.89,17%,46%,19,27,5.67,10.3%,51.7%,37.5%,0%,12.5%,0%
20050030,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Maryland College Park,"Behavior, Ecology, Evolution, and Systematics",60,21.18,10%,62%,44,40,7.2,23.7%,47.4%,0%,0%,100%,0%
20048097,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Massachusetts Amherst,Organismic and Evolutionary Biology,53,31.51,9%,55%,38,28,5.8,28.6%,25%,11.1%,0%,22.2%,11.1%
20048204,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Massachusetts Amherst,Wildlife and Fisheries Conservation,18,7.55,0%,94%,10,18,3.6,33.3%,0%,0%,0%,0%,14.3%
20027791,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Memphis,Ecology and Evolutionary Biology,18,15,22%,50%,12,17,2,0%,0%,0%,0%,0%,0%
20035369,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Michigan-Ann Arbor,Ecology and Evolutionary Biology,70,45.47,23%,71%,43,54,11.75,11.1%,53.7%,0%,0%,0%,0%
20039802,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Minnesota-Twin Cities,Conservation Biology,85,41.73,14%,58%,72,66,9.2,14%,9.3%,66.7%,0%,0%,0%
20039815,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Minnesota-Twin Cities,"Ecology, Evolution, and Behavior",52,26.42,23%,63%,51,47,8.4,31.8%,27.3%,60%,0%,0%,0%
20025366,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Missouri - Columbia,Fisheries and Wildlife,9,9,22%,67%,9,18,3.6,55.6%,0%,0%,0%,50%,0%
20063153,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Montana - Missoula,Organismal Biology & Ecology,29,26.26,24%,41%,25,28,5.8,27.7%,33.7%,,,,
20017060,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Nebraska - Lincoln,"Ecology, Evolution & Behavior",44,21.21,7%,77%,21,22,6,9.1%,22.7%,0%,50%,0%,0%
20015059,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Nevada Reno,"Ecology, Evolution and Conservation Biology",29,24.26,10%,76%,24,35,5.8,48.3%,34.5%,0%,0%,0%,0%
20050687,Biological and Health Sciences,Ecology and Evolutionary Biology,University of New Hampshire,Natural Resources and Environmental Studies,33,22.34,18%,70%,32,41,8.4,21.2%,9.1%,,0%,,
20050739,Biological and Health Sciences,Ecology and Evolutionary Biology,University of New Hampshire,Zoology,14,13.48,0%,79%,14,18,3.4,35.3%,35.3%,0%,0%,0%,0%
20015224,Biological and Health Sciences,Ecology and Evolutionary Biology,University of New Mexico Main Campus,Biology,38,37.75,8%,76%,38,92,13.6,42.1%,55.6%,,,,
20045210,Biological and Health Sciences,Ecology and Evolutionary Biology,University of North Carolina At Chapel Hill,Ecology,47,15.16,28%,74%,29,22,4,9.5%,38.1%,0%,0%,33.3%,0%
20068213,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Southern California,Marine Environmental Biology,19,16.5,16%,79%,18,27,4.2,16%,48%,66.7%,0%,0%,0%
20045757,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Tennessee,Ecology and Evolutionary Biology,49,29.03,8%,67%,25,40,6.2,22.2%,66.7%,0%,0%,0%,0%
20061485,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Texas At Austin,"Ecology, Evolution, and Behavior",52,28.62,23%,87%,46,78,14,14.1%,33.3%,13.3%,6.7%,20%,0%
20023656,Biological and Health Sciences,Ecology and Evolutionary Biology,University of California-Santa Cruz,Ecology and Evolutionary Biology,26,19.41,0%,77%,17,56,11.4,10.7%,37.5%,0%,0%,0%,0%
20043500,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Toledo,"Earth, Ecology, and Environmental Science",17,17,24%,53%,17,19,5.6,50%,35%,,,,
20031114,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Wisconsin-Madison,Wildlife Ecology,7,3.71,0%,,6,4,2,,,,,,
20027555,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Vermont,Natural Resources,38,34.93,13%,50%,32,33,7,0%,6.7%,0%,100%,0%,0%
20024765,Biological and Health Sciences,Ecology and Evolutionary Biology,University of Wyoming,Zoology & Physiology,21,20.33,0%,90%,21,5,6.6,60%,20%,0%,0%,0%,0%
20062620,Biological and Health Sciences,Ecology and Evolutionary Biology,Utah State University,Ecology (WS),5,1.59,0%,80%,4,15,3.33,86.8%,0%,27.3%,0%,0%,0%
20058676,Biological and Health Sciences,Ecology and Evolutionary Biology,Washington State University,Zoology,39,14.73,15%,74%,29,22,5.2,9.5%,85.7%,0%,0%,0%,0%
20069843,Biological and Health Sciences,Ecology and Evolutionary Biology,Washington University In St. Louis,"Evolution, Ecology and Population Biology",32,12.02,13%,75%,13,30,4.8,3.3%,0%,100%,0%,0%,0%
20063425,Biological and Health Sciences,Ecology and Evolutionary Biology,Yale University,Ecology & Evolutionary Biology,19,14.31,37%,58%,18,29,5.8,3.4%,0%,25%,0%,75%,0%
20026501,Biological and Health Sciences,Genetics and Genomics,Baylor College of Medicine,Molecular & Human Genetics,92,31.95,23%,73%,52,75,15.2,5.3%,0%,0%,33.3%,0%,0%
20025081,Biological and Health Sciences,Genetics and Genomics,Brandeis University,Molecular and Cell Biology,16,10.77,6%,81%,16,43,7.2,0%,0%,100%,0%,0%,0%
20019152,Biological and Health Sciences,Genetics and Genomics,Case Western Reserve University,Genetics,49,27.8,22%,55%,26,42,6.6,4.8%,0%,0%,100%,0%,0%
20016786,Biological and Health Sciences,Genetics and Genomics,Clemson University,Genetics,45,24.16,24%,47%,26,23,5.2,50%,40.9%,0%,0%,0%,0%
20057664,Biological and Health Sciences,Genetics and Genomics,Columbia University In The City of New York,Genetics and Development,22,14.5,9%,73%,18,40,6.4,62.5%,0%,40%,60%,0%,0%
20015790,Biological and Health Sciences,Genetics and Genomics,Cornell University,Genetics and Development,37,17.23,24%,68%,37,56,9.8,50%,19.6%,44.4%,11.1%,0%,0%
20027157,Biological and Health Sciences,Genetics and Genomics,Drexel University,Molecular and Cell Biology and Genetics,30,20.58,30%,60%,30,19,4.2,52.6%,0%,100%,0%,0%,0%
20029854,Biological and Health Sciences,Genetics and Genomics,Duke University,Genetics,72,27.7,22%,57%,50,71,15,47.9%,4.2%,55.6%,0%,0%,0%
20062002,Biological and Health Sciences,Genetics and Genomics,Emory University,Genetics and Molecular Biology (GMB),45,29.42,36%,62%,45,60,12.4,0%,0%,82.4%,17.6%,0%,0%
20026019,Biological and Health Sciences,Genetics and Genomics,Howard University,Genetics,18,12.15,11%,67%,11,5,1.8,,,,,,
20046358,Biological and Health Sciences,Genetics and Genomics,Indiana University At Bloomington,Genetics,16,4.42,19%,75%,14,14,3.75,33.3%,25%,66.7%,,,
20048408,Biological and Health Sciences,Genetics and Genomics,Indiana University Purdue University Indianapolis,Medical Genetics,26,17.62,35%,42%,18,16,3.2,75%,0%,40%,0%,0%,0%
20016304,Biological and Health Sciences,Genetics and Genomics,Iowa State University,Bioinformatics & Computational Biology,74,17.31,20%,68%,52,57,10.4,80.4%,2%,,,,
20016472,Biological and Health Sciences,Genetics and Genomics,Iowa State University,Genetics,90,31.03,24%,67%,60,73,12.6,65.8%,0%,,11.1%,,
20056704,Biological and Health Sciences,Genetics and Genomics,Johns Hopkins University,Genetics and Molecular Biology,32,20.78,16%,66%,26,115,34.2,0%,0%,0%,91.3%,0%,0%
20046963,Biological and Health Sciences,Genetics and Genomics,Michigan State University,Genetics,98,27,19%,77%,79,43,9.2,72.1%,2.3%,36.4%,0%,9.1%,0%
20033206,Biological and Health Sciences,Genetics and Genomics,Massachusetts Institute of Technology,Biology/Genetics and Genomics,21,8.8,19%,76%,21,31,3.8,67.7%,0%,0%,100%,0%,0%
20062277,Biological and Health Sciences,Genetics and Genomics,New Mexico State University Main Campus,Molecular Biology,30,18.18,20%,37%,30,20,4.4,55%,30%,0%,0%,0%,0%
20064327,Biological and Health Sciences,Genetics and Genomics,New York University,"Genetics, Genomics and Bioinformatics",17,9.13,41%,47%,11,18,2.6,0%,0%,0%,0%,100%,0%
20041298,Biological and Health Sciences,Genetics and Genomics,North Carolina State University,Bioinformatics,52,10.55,31%,67%,46,45,7.4,18.6%,0%,14.3%,57.1%,0%,0%
20021315,Biological and Health Sciences,Cell and Developmental Biology,Wayne State University,Cancer Biology,48,38.21,6%,69%,48,32,6.6,35.5%,0%,12.5%,0%,0%,0%
20041450,Biological and Health Sciences,Genetics and Genomics,North Carolina State University,Functional Genomics,98,14.64,26%,73%,97,19,3.6,50%,0%,100%,0%,0%,0%
20041463,Biological and Health Sciences,Genetics and Genomics,North Carolina State University,Genetics,18,10.77,33%,67%,13,23,3.2,43.5%,0%,0%,20%,0%,0%
20029171,Biological and Health Sciences,Genetics and Genomics,Ohio State University Main Campus,Molecular Genetics,28,12.13,21%,71%,25,39,6.5,59%,41%,0%,0%,0%,0%
20058948,Biological and Health Sciences,Genetics and Genomics,Oregon Health And Science University,Molecular and Medical Genetics,63,35.34,17%,32%,26,27,4.8,95.8%,0%,*,*,*,*
20018632,Biological and Health Sciences,Genetics and Genomics,Oregon State University,Genetics,23,4.48,4%,91%,12,7,1.6,100%,0%,*,*,*,*
20031431,Biological and Health Sciences,Genetics and Genomics,Penn State University,Genetics,111,29.19,17%,71%,80,64,14.8,65.1%,14.3%,100%,0%,0%,0%
20038175,Biological and Health Sciences,Genetics and Genomics,State University of New York At Stony Brook,Genetics,91,29.03,16%,67%,81,61,9.4,77%,0%,0%,0%,5%,0%
20052614,Biological and Health Sciences,Genetics and Genomics,Stanford University,Genetics,36,17.49,19%,72%,25,59,10.6,22.4%,0%,36.4%,63.6%,0%,0%
20060525,Biological and Health Sciences,Genetics and Genomics,Temple University,Molecular Biology/Genetics,14,9.82,7%,86%,13,22,3.2,59.1%,0%,50%,0%,0%,0%
20021661,Biological and Health Sciences,Genetics and Genomics,Texas A & M University,Genetics,87,33.07,17%,78%,10,64,13.8,55%,21.7%,12.5%,0%,0%,0%
20060583,Biological and Health Sciences,Genetics and Genomics,Thomas Jefferson University,Genetics,34,15.27,26%,,22,21,4.8,0%,0%,100%,0%,0%,0%
20029650,Biological and Health Sciences,Genetics and Genomics,Tufts University,Genetics,45,17.7,7%,44%,45,29,5.6,72.4%,0%,100%,0%,0%,0%
20034014,Biological and Health Sciences,Genetics and Genomics,University of Arizona,Genetics,17,1.67,0%,,9,10,2.6,50%,0%,0%,0%,0%,0%
20060800,Biological and Health Sciences,Genetics and Genomics,University of California-Berkeley,"Genetics, Genomics and Development",43,15.83,12%,67%,16,68,12.4,4.4%,0%,7.1%,71.4%,0%,0%
20067191,Biological and Health Sciences,Genetics and Genomics,University of California-Davis,Genetics,74,36.35,14%,70%,72,77,13.8,40%,4%,64.3%,0%,7.1%,0%
20053121,Biological and Health Sciences,Genetics and Genomics,University of California-Los Angeles,Biomathematics,15,6.4,13%,73%,6,12,1,8.3%,0%,50%,0%,0%,50%
20053325,Biological and Health Sciences,Genetics and Genomics,University of California-Los Angeles,Genetics and Genomics [ACCESS* Program Specialization],27,18.42,19%,59%,27,37,7.8,16.2%,0%,100%,0%,0%,0%
20069513,Biological and Health Sciences,Genetics and Genomics,University of California-San Francisco,Genetics,14,6.19,43%,36%,14,175,27.6,28.6%,0%,12.9%,19.4%,0%,0%
20052944,Biological and Health Sciences,Genetics and Genomics,University of Chicago,Genetics,77,28.22,19%,71%,69,44,9,56.8%,0%,55.6%,0%,0%,0%
20027681,Biological and Health Sciences,Genetics and Genomics,University of Colorado Denver (University of Colorado At Denver And Health Sciences Center),Human Medical Genetics,40,18.35,5%,63%,29,15,3,,,*,*,*,*
20024066,Biological and Health Sciences,Genetics and Genomics,University of Connecticut,Genetics PhD,31,8.52,16%,81%,17,33,6.67,12.9%,74.2%,0%,0%,0%,16.7%
20024176,Biological and Health Sciences,Genetics and Genomics,University of Connecticut,Microbiology PhD,18,6.54,11%,78%,12,18,3.33,27.8%,55.6%,0%,0%,0%,25%
20013284,Biological and Health Sciences,Genetics and Genomics,University of Florida,Medical Sciences: Genetics,50,24.59,10%,88%,44,39,7.2,2.6%,0%,0%,0%,83.3%,0%
20068608,Biological and Health Sciences,Genetics and Genomics,University of Connecticut,Biomedical Science PhD Genetics and Developmental Biology,39,11.87,10%,79%,22,32,6,89.3%,0%,0%,0%,0%,0%
