Program ID,Broad Field,Field,Institution Name,Program Name,R Rankings:  5th Percentile,R Rankings:  95th Percentile,S Rankings:  5th Percentile,S Rankings:  95th Percentile,Research Activity:  5th Percentile,Research Activity: 95th Percentile,"Student Support
& Outcomes:  5th Percentile","Student Support & Outcomes:  95th
Percentile",Diversity: 5th Percentile,Diversity:  95th Percentile
20038829,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Illinois At Urbana-Champaign,Biochemistry,34,63,59,120,53,119,39,117,101,135
20038845,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Illinois At Urbana-Champaign,Biophysics and Computational Biology,16,28,13,52,13,70,34,116,86,122
20020141,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Iowa,Biochemistry,68,113,42,125,37,125,20,109,88,133
20051055,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Kansas,Biochemistry and Biophysics,88,134,88,140,104,147,10,100,70,123
20070573,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Kansas,Biochemistry and Molecular Biology,56,124,68,148,29,119,47,138,157,157
20028088,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Kentucky,Molecular & Cellular Biochemistry,74,121,35,111,33,121,4,70,99,138
20026271,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Louisville,Biochemistry & Molecular Biology,93,138,51,129,55,137,2,59,54,103
20036449,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Maryland Baltimore County,Molecular and Cell Biology,99,143,135,155,119,152,131,154,29,73
20050043,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Maryland College Park,Biochemistry,58,97,46,117,48,128,44,117,17,53
20021205,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Massachusetts At Worcester,Biochemistry & Molecular Pharmacology,63,108,60,140,32,118,113,154,103,143
20035217,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Michigan-Ann Arbor,Biological Chemistry,18,35,26,81,23,93,45,122,132,152
20050742,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Miami,Biochemistry and Molecular Biology,91,133,88,144,108,149,35,122,8,21
20035233,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Michigan-Ann Arbor,Biophysics,34,61,27,92,30,108,6,91,106,138
20039666,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Minnesota-Twin Cities,"Biochemistry, Molecular Biology and Biophysics",39,82,52,121,49,132,22,110,72,118
20039682,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Minnesota-Twin Cities,Biophysical Sciences and Medical Physics,79,137,146,156,146,154,36,136,115,144
20025214,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Missouri - Columbia,Biochemistry,50,111,39,116,34,115,4,59,77,118
20025670,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Missouri - Saint Louis,Biology,74,143,110,150,84,142,114,149,48,93
20017057,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Nebraska - Lincoln,Biochemistry,96,135,47,118,58,130,65,137,17,49
20014995,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Nevada Reno,Biochemistry,139,155,94,150,94,149,7,105,14,48
20050564,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of New Hampshire,Biochemistry,85,143,95,150,43,137,115,154,112,144
20045090,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of North Carolina At Chapel Hill,Biochemistry & Biophysics,22,48,28,80,39,112,5,54,119,145
20020057,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of North Dakota Main Campus,Biochemistry & Molecular Biology,110,147,77,139,92,143,3,76,58,108
20047386,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of North Texas,Molecular Biology,149,157,110,155,142,155,1,131,23,65
20069636,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of North Texas Health Science Center,Biochemistry and Molecular Biology,146,156,85,147,79,147,5,79,3,8
20036708,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Pennsylvania,Biomedical Grad Studies-Biochemistry&Molecular Biophysics,21,40,16,69,16,79,8,108,113,143
20049520,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Pittsburgh Pittsburgh Campus,Biochemistry and Molecular Genetics,45,101,26,87,28,111,4,104,59,114
20069128,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Rochester,Biochemistry,48,87,28,96,29,108,8,79,104,139
20069157,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Rochester,Biophysics,42,75,35,113,34,121,34,127,128,148
20067984,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Southern California,Biochemistry and Molecular Biology,27,58,22,75,15,72,69,136,11,34
20068255,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Southern California,Molecular Biology,46,75,44,112,37,109,54,127,23,64
20045663,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Tennessee,Biochemistry and Cellular and Molecular Biology,102,136,89,144,104,149,19,110,118,148
20045728,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Tennessee,Comparative and Experimental Medicine,96,145,67,124,100,148,2,35,48,103
20061359,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Texas At Austin,Biochemistry,71,117,30,105,21,99,5,74,48,99
20056157,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Texas At Dallas,Molecular and Cell Biology,121,155,139,156,71,144,155,157,21,70
20046044,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Texas Hlth Sci Cntr. At Houston\univ. of Texas M.d. Anderson Cancer Cntr.(Uthsch\utmdacc),Biochemistry and Molecular Biology,63,104,49,122,33,111,64,141,7,14
20018933,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Texas Southwestern Medical Center At Dallas,Biological Chemistry,41,71,26,88,18,82,46,136,119,145
20018946,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Texas Southwestern Medical Center At Dallas,Cell Regulation,16,29,7,43,5,41,38,123,82,122
20018988,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Texas Southwestern Medical Center At Dallas,Molecular Biophysics,28,52,14,59,13,74,21,106,75,115
20043571,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Toledo,Molecular & Cellular Biology,100,137,69,137,103,150,1,40,75,120
20047441,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Utah,Biochemistry,58,90,77,141,62,135,47,139,94,128
20043458,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Toledo,Biological Science,139,155,51,126,75,145,1,32,8,22
20027487,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Vermont,Biochemistry,35,77,50,130,13,70,112,153,154,156
20023517,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Virginia,Biophysics,37,85,12,59,16,90,13,90,36,77
20071213,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Virginia,Biochemistry & Molecular Genetics,28,57,17,63,25,96,4,72,57,111
20059484,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Washington,Biochemistry,20,37,17,65,13,72,22,103,151,154
20030351,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Wisconsin-Madison,Biochemistry,6,16,7,40,7,43,68,137,114,148
20030380,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Wisconsin-Madison,Biomolecular Chemistry,33,61,28,100,29,113,51,135,66,111
20030393,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",University of Wisconsin-Madison,Biophysics,21,40,8,46,5,55,20,117,135,152
20051851,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Vanderbilt University,Biochemistry,32,84,12,54,9,65,31,114,71,127
20017442,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Virginia Commonwealth University,Biochemistry,75,121,39,111,27,113,48,130,22,67
20044389,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Virginia Polytechnic Institute And State University,Biochemistry,86,133,54,130,70,142,13,108,12,44
20034441,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Wake Forest University,Biochemistry and Molecular Biology,91,134,31,104,27,108,3,79,38,90
20058634,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Washington State University,School of Molecular Biosciences,33,76,41,110,47,119,63,134,38,89
20069717,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Washington University In St. Louis,Biochemistry,28,55,11,57,17,87,7,99,122,149
20069924,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Washington University In St. Louis,Molecular Biophysics,36,67,16,62,18,95,11,103,98,143
20021292,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Wayne State University,Biochemistry and Molecular Biology,105,143,80,141,97,148,7,84,8,20
20063658,Biological and Health Sciences,"Biochemistry, Biophysics, and Structural Biology",Yale University,Molecular Biophysics & Biochemistry,4,12,3,22,7,44,25,108,91,132
20037778,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Auburn University,Biological Sciences,91,117,71,110,52,105,35,106,27,87
20037781,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Auburn University,Biomedical Sciences,105,121,75,115,60,114,27,113,21,70
20026446,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Baylor College of Medicine,Cardiovascular Sciences,13,26,8,29,8,36,22,98,109,119
20043351,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Baylor University,Biomedical Studies,57,93,62,104,62,104,37,111,76,109
20036106,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Boston College,Biology/Integrated Biology/Integrated Biomedical Sciences,51,85,59,104,52,104,26,100,30,83
20059057,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Boston University,Biology,36,72,62,108,33,87,65,117,41,91
20066752,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Brigham Young University,Physiology and Developmental Biology,40,103,20,68,30,93,1,99,92,118
20032935,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),California Institute of Technology,Biology,1,3,1,4,1,3,13,85,56,102
20057033,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),City University of New York Grad. Center,Biology,41,86,60,106,41,100,115,119,3,10
20071488,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Clemson University,Biological Sciences,82,113,71,112,76,114,14,100,29,86
20066794,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Clark University,Biology,88,115,71,113,62,112,14,95,73,105
20025654,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Cleveland State University,Regulatory Biology,84,117,53,103,56,107,11,88,12,23
20023588,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Cold Spring Harbor,Doctoral Program in the Biological Sciences,14,33,3,18,6,27,1,23,72,106
20057444,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Columbia University In The City of New York,Biological Sciences,11,22,9,34,5,27,88,118,39,90
20057693,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Columbia University In The City of New York,"Integrated Pgm in Cellular, Molecular & Biophysical Studies",2,9,1,13,1,9,75,118,84,111
20048288,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Dartmouth College,Molecular & Cellular Biology,14,30,18,55,15,58,13,86,95,114
20026970,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Drexel University,Biological Sciences,87,116,50,106,35,95,74,118,3,13
20029906,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Duke University,Biology,10,21,11,31,12,44,14,82,38,94
20022741,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Florida Institute of Technology,Biological Sciences,46,91,55,105,61,113,2,30,120,120
20034551,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Florida International University,Biology,45,87,50,101,41,96,54,114,21,51
20027209,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Florida State University,Biological Sciences,37,81,63,109,54,104,30,111,58,101
20029430,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Fordham University,Biological Sciences,99,121,116,121,74,113,120,121,32,95
20022958,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Georgetown University,Biology,64,103,37,88,81,114,21,111,3,14
20062879,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Georgia Institute of Technology,Biology,37,78,22,58,13,54,52,113,32,85
20025955,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Howard University,Biology,73,118,77,110,102,118,78,116,1,1
20060392,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Illinois Institute of Technology,Biology,56,101,33,78,17,54,38,107,33,90
20048343,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Indiana University Purdue University Indianapolis,Biology,69,111,39,103,38,98,1,114,17,61
20016317,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Iowa State University,Biomedical Sciences,45,95,53,104,38,95,60,118,26,85
20056490,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Johns Hopkins University,Biology,10,23,8,25,13,47,3,45,21,59
20028525,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Kansas State University,Biology,39,79,28,72,30,90,8,72,44,94
20060334,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Loma Linda University,Biology,44,121,99,121,107,118,17,110,121,121
20057981,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Louisiana State University And Agricultural And Mechanical College,Biological Sciences,30,59,41,95,32,86,44,109,42,93
20058281,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Louisiana State University And Agricultural And Mechanical College,Veterinary Medical Science,54,92,54,103,38,93,35,108,35,89
20040862,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Marquette University,Biological Sciences,95,116,64,108,61,109,29,104,3,15
20022369,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Michigan Technological University,Biological Sciences,94,118,106,117,113,120,30,102,32,91
20024383,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Mississippi State University,Biological Sciences,99,120,53,107,45,102,32,116,3,14
20024587,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Mississippi State University,Veterinary Medical Science,86,114,47,103,69,114,14,108,33,90
20060130,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Montana State University - Bozeman,Biology,71,105,67,107,61,95,49,117,108,119
20071637,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Mt. Sinai School of Medicine,PhD in Biomedical Sciences,7,17,11,34,11,48,46,113,26,73
20031826,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Northeastern University,Biology,52,88,55,101,61,106,18,94,22,66
20070450,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),New York Medical College,Integrated PhD Program in Basic Medical Sciences,41,90,39,92,23,66,76,117,17,47
20040312,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Northern Illinois University,Biology,104,119,115,120,117,120,81,117,40,94
20041353,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),North Carolina State University,Comparative Biomedical Sciences,33,78,34,85,27,81,38,105,21,60
20068941,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Northwestern University,Interdepartmental Biological and Life Sciences Program,6,15,11,31,12,46,15,89,27,79
20029113,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Ohio State University Main Campus,Integrated Biomedical Science Graduate Program,39,78,30,70,29,76,5,61,58,104
20029391,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Ohio State University Main Campus,Veterinary Biosciences,25,54,15,44,13,48,7,81,15,38
20029401,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Ohio State University Main Campus,Veterinary Preventative Medicine,36,76,23,63,18,67,5,74,13,33
20013789,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Ohio University Main Campus,Biological Sciences,77,107,62,107,82,116,8,81,85,111
20041887,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Oklahoma State University Main Campus,Biomedical Sciences,116,121,116,121,116,120,48,110,51,96
20042145,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Oklahoma State University Main Campus,Veterinary Biomedical Sciences,61,101,37,83,57,108,2,40,13,25
20031237,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Penn State University,Biology,10,22,6,21,4,20,22,103,25,64
20031648,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Penn State University,Pathobiology,29,64,18,52,17,61,5,75,22,58
20032582,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Princeton University,Molecular Biology,3,10,2,14,2,13,13,80,47,99
20058809,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Rockefeller University,The David Rockefeller Graduate Program,2,10,3,19,3,18,8,68,57,100
20032304,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Seton Hall University,Health Sciences,112,121,109,120,121,121,1,22,4,15
20052407,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Stanford University,Biological Sciences,4,11,8,25,9,35,15,88,55,103
20033507,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),State University of New York At Albany,Biology,48,89,86,113,87,115,73,117,38,90
20033510,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),State University of New York At Albany,Biomedical Science,55,96,44,97,26,77,42,112,5,17
20037406,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),State University of New York At Binghamton,"Biochemistry, Cell Biology & Molecular Biology",79,109,55,105,50,104,6,65,52,105
20038434,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),State University of New York At Buffalo,Biological Sciences,31,61,33,81,28,83,24,98,67,109
20022783,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Texas Tech University,Biology,43,82,47,97,51,104,10,76,46,93
20029537,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Tufts University,Biology,45,85,49,93,73,109,33,108,15,39
20066901,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),Tulane University,Biomedical Sciences,16,33,17,48,13,52,8,73,18,45
20048505,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Alabama At Birmingham,Biology,42,85,35,83,40,92,5,80,38,90
20013543,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Arkansas Main Campus,Biological Sciences,75,110,81,115,59,112,12,86,101,117
20013653,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Arkansas Main Campus,Health Science,96,120,103,117,111,119,4,64,98,119
20065546,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of California-San Diego,Biological Sciences,1,6,2,13,3,18,23,97,69,107
20065559,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of California-San Diego,Biomedical Sciences,2,7,2,13,2,9,26,98,65,107
20069461,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of California-San Francisco,Biomedical Sciences,7,21,2,14,4,22,1,18,22,65
20069555,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of California-San Francisco,Oral and Craniofacial Sciences,21,47,19,52,18,63,23,107,63,109
20013909,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Central Florida,Biomolecular Sciences,66,111,46,102,18,64,89,119,60,103
20031994,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Cincinnati Main Campus,Biological Sciences,80,107,92,116,94,116,43,116,65,105
20055530,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Dayton,Biology,85,117,68,112,69,105,2,73,27,86
20012104,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Delaware,Biological Sciences,36,71,20,58,19,70,18,94,5,17
20042763,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Illinois At Chicago,Biological Sciences,39,85,64,106,52,103,87,118,16,39
20020154,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Iowa,Biological Sciences,33,67,45,91,48,99,48,111,32,88
20028091,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Kentucky,Biology,28,56,44,85,66,106,8,81,67,104
20036339,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Maryland Baltimore County,Biological Sciences,59,97,46,105,53,108,48,114,3,13
20050069,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Maryland College Park,Biology,25,50,25,63,23,67,21,98,49,97
20047823,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Massachusetts Amherst,Animal Biotechnology and Biomedical Sciences,32,83,19,54,21,67,17,89,3,12
20070078,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Massachusetts At Worcester,Interdisciplinary Graduate Programs,28,68,16,46,8,39,5,65,20,57
20050755,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Miami,Biology,49,94,73,112,58,109,61,116,37,94
20062329,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Mississippi,Biological Sciences,68,101,85,115,90,117,7,76,107,118
20025230,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Missouri - Columbia,Biological Sciences,33,67,40,90,41,95,7,74,45,94
20015237,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of New Mexico Main Campus,Biomedical Sciences,27,59,17,49,16,59,24,97,6,16
20045113,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of North Carolina At Chapel Hill,Biology,14,30,18,52,13,56,31,104,60,104
20047263,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of North Texas,Biology,83,112,100,118,87,116,76,119,40,101
20069649,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of North Texas Health Science Center,Biomedical Sciences,61,110,43,101,26,85,26,115,2,3
20035880,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Notre Dame,Biological Sciences,20,42,19,55,19,71,6,63,56,101
20051848,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Oklahoma Norman Campus,Zoology,43,82,46,100,58,110,7,83,98,116
20043814,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Oregon,Biology,16,32,18,55,12,50,16,90,96,115
20036698,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Pennsylvania,Biology-School of Arts and Sciences,31,68,19,51,17,56,19,96,3,15
20049546,Biological and Health Sciences,Biology/Integrated Biology/Integrated Biomedical Sciences (Note: Use this field only if the degree field is not specialized.),University of Pittsburgh Pittsburgh Campus,Biological Sciences,36,72,43,90,45,94,18,94,29,79
